구별,코드,동별
중구,1102052,소공동
중구,1102054,회현동
중구,1102055,명동
중구,1102057,필동
중구,1102058,장충동
중구,1102059,광희동
중구,1102060,을지로동
중구,1102065,신당5동
중구,1102067,황학동
중구,1102068,중림동
중구,1102069,신당동
중구,1102070,다산동
중구,1102071,약수동
중구,1102072,청구동
중구,1102073,동화동
강남구,1123051,신사동
강남구,1123052,논현1동
강남구,1123053,논현2동
강남구,1123058,삼성1동
강남구,1123059,삼성2동
강남구,1123060,대치1동
강남구,1123063,대치4동
강남구,1123064,역삼1동
강남구,1123065,역삼2동
강남구,1123066,도곡1동
강남구,1123067,도곡2동
강남구,1123068,개포1동
강남구,1123071,개포4동
강남구,1123072,일원본동
강남구,1123073,일원1동
강남구,1123074,일원2동
강남구,1123075,수서동
강남구,1123076,세곡동
강남구,1123077,압구정동
강남구,1123078,청담동
강남구,1123079,대치2동
강남구,1123080,개포2동
송파구,1124051,풍납1동
송파구,1124052,풍납2동
송파구,1124053,거여1동
송파구,1124054,거여2동
송파구,1124055,마천1동
송파구,1124056,마천2동
송파구,1124057,방이1동
송파구,1124058,방이2동
송파구,1124059,오륜동
송파구,1124060,오금동
송파구,1124061,송파1동
송파구,1124062,송파2동
송파구,1124063,석촌동
송파구,1124064,삼전동
송파구,1124065,가락본동
송파구,1124066,가락1동
송파구,1124067,가락2동
송파구,1124068,문정1동
송파구,1124069,문정2동
송파구,1124081,장지동
송파구,1124082,위례동
송파구,1124071,잠실본동
송파구,1124075,잠실4동
송파구,1124077,잠실6동
송파구,1124078,잠실7동
송파구,1124079,잠실2동
송파구,1124080,잠실3동
